id;date;description;amount
1;2019-08-14T23:47:13;National Awesome sky blue;4522
2;2019-08-14T15:04:06;navigating;74732
3;2019-08-15T07:37:26;generating compelling;28093
4;2019-08-14T23:34:04;bifurcated scalable;16526
5;2019-08-15T12:20:50;Administrator;77224
6;2019-08-15T04:39:33;24 hour;1407
7;2019-08-14T18:33:56;monitor;72900
8;2019-08-14T19:10:20;Checking Account Identity deposit;91495
9;2019-08-14T17:25:19;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-08-14T22:09:16;New York tangible Mississippi;38292
